tax_path,kingdom,phylum,class,order,family,genus,species,n_pos_conn,n_neg_conn,group,Label,Middle_depth,N_reads
"172614:s__UBA12489 sp903844055:""species""	47742:g__UBA12489:""genus""	47741:f__UBA5603_A:""family""	40474:o__Izemoplasmatales:""order""	87:c__Bacilli:""class""	86:p__Firmicutes:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Firmicutes,Bacilli,Izemoplasmatales,UBA5603,UBA12489,UBA12489 sp903844055,19,5,Deposited by floods,HB_38,350.5,217
"172614:s__UBA12489 sp903844055:""species""	47742:g__UBA12489:""genus""	47741:f__UBA5603_A:""family""	40474:o__Izemoplasmatales:""order""	87:c__Bacilli:""class""	86:p__Firmicutes:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Firmicutes,Bacilli,Izemoplasmatales,UBA5603,UBA12489,UBA12489 sp903844055,19,5,Deposited by floods,HB_11,900.5,104
"45410:s__GWF2-33-38 sp001769505:""species""	45409:g__GWF2-33-38:""genus""	45336:f__GWF2-33-38:""family""	124:o__Bacteroidales:""order""	65:c__Bacteroidia:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,GWF2-33-38,GWF2-33-38,GWF2-33-38 sp001769505,18,5,Deposited by floods,HB_38,350.5,136
"45410:s__GWF2-33-38 sp001769505:""species""	45409:g__GWF2-33-38:""genus""	45336:f__GWF2-33-38:""family""	124:o__Bacteroidales:""order""	65:c__Bacteroidia:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,GWF2-33-38,GWF2-33-38,GWF2-33-38 sp001769505,18,5,Deposited by floods,HB_11,900.5,62
"78657:s__2-12-FULL-64-23 sp004298385:""species""	13781:g__2-12-FULL-64-23:""genus""	13780:f__SG8-39_A:""family""	81:o__Betaproteobacteriales:""order""	72:c__Gammaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SG8-39,2-12-FULL-64-23,2-12-FULL-64-23 sp004298385,17,7,Deposited by floods,HB_38,350.5,191
"103341:s__PNNN01 sp013824245:""species""	103340:g__PNNN01:""genus""	69815:f__SZUA-254:""family""	1689:o__UBA10030:""order""	1688:c__UBA10030:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Bacteroidota,UBA10030,UBA10030,SZUA-254,PNNN01,PNNN01 sp013824245,17,9,Deposited by floods,HB_38,350.5,145
"191474:s__Bradyrhizobium murdochi:""species""	18230:g__Bradyrhizobium:""genus""	6556:f__Xanthobacteraceae:""family""	276:o__Rhizobiales:""order""	164:c__Alphaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium murdochi,17,7,Deposited by floods,HB_38,350.5,72
"78657:s__2-12-FULL-64-23 sp004298385:""species""	13781:g__2-12-FULL-64-23:""genus""	13780:f__SG8-39_A:""family""	81:o__Betaproteobacteriales:""order""	72:c__Gammaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SG8-39,2-12-FULL-64-23,2-12-FULL-64-23 sp004298385,17,7,Deposited by floods,HB_11,900.5,117
"103341:s__PNNN01 sp013824245:""species""	103340:g__PNNN01:""genus""	69815:f__SZUA-254:""family""	1689:o__UBA10030:""order""	1688:c__UBA10030:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Bacteroidota,UBA10030,UBA10030,SZUA-254,PNNN01,PNNN01 sp013824245,17,9,Deposited by floods,HB_11,900.5,315
"191474:s__Bradyrhizobium murdochi:""species""	18230:g__Bradyrhizobium:""genus""	6556:f__Xanthobacteraceae:""family""	276:o__Rhizobiales:""order""	164:c__Alphaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium murdochi,17,7,Deposited by floods,HB_11,900.5,226
"116124:s__JACRBM01 sp016219275:""species""	116123:g__JACRBM01:""genus""	5200:f__UBA4142:""family""	5199:o__UBA4142:""order""	942:c__Anaerolineae:""class""	37:p__Chloroflexota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Chloroflexota,Anaerolineae,UBA4142,UBA4142,JACRBM01,JACRBM01 sp016219275,16,8,Deposited by floods,HB_38,350.5,374
"116124:s__JACRBM01 sp016219275:""species""	116123:g__JACRBM01:""genus""	5200:f__UBA4142:""family""	5199:o__UBA4142:""order""	942:c__Anaerolineae:""class""	37:p__Chloroflexota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Chloroflexota,Anaerolineae,UBA4142,UBA4142,JACRBM01,JACRBM01 sp016219275,16,8,Deposited by floods,HB_11,900.5,257
"71759:s__34-128 sp003451675:""species""	13900:g__34-128:""genus""	13899:f__34-128:""family""	3302:o__SB-45:""order""	3301:c__JS1_B:""class""	1448:p__Caldatribacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Caldatribacteriota,JS1,SB-45,34-128,34-128,34-128 sp003451675,14,8,Deposited by floods,HB_38,350.5,112
"81425:s__3-1-20CM-2-70-9 sp005880575:""species""	16435:g__3-1-20CM-2-70-9:""genus""	16434:f__P2-11E:""family""	16433:o__P2-11E_A:""order""	8444:c__Ellin6529:""class""	37:p__Chloroflexota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Chloroflexota,Ellin6529,P2-11E,P2-11E,3-1-20CM-2-70-9,3-1-20CM-2-70-9 sp005880575,14,9,Deposited by floods,HB_38,350.5,52
"146729:s__UBA1546 sp018896985:""species""	13658:g__UBA1546:""genus""	13657:f__UBA1546:""family""	3490:o__Thermodesulfovibrionales:""order""	3489:c__Thermodesulfovibrionia:""class""	702:p__Nitrospirota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,UBA1546 sp018896985,14,8,Deposited by floods,HB_38,350.5,159
"71759:s__34-128 sp003451675:""species""	13900:g__34-128:""genus""	13899:f__34-128:""family""	3302:o__SB-45:""order""	3301:c__JS1_B:""class""	1448:p__Caldatribacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Caldatribacteriota,JS1,SB-45,34-128,34-128,34-128 sp003451675,14,8,Deposited by floods,HB_11,900.5,204
"81425:s__3-1-20CM-2-70-9 sp005880575:""species""	16435:g__3-1-20CM-2-70-9:""genus""	16434:f__P2-11E:""family""	16433:o__P2-11E_A:""order""	8444:c__Ellin6529:""class""	37:p__Chloroflexota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Bacteria,Chloroflexota,Ellin6529,P2-11E,P2-11E,3-1-20CM-2-70-9,3-1-20CM-2-70-9 sp005880575,14,9,Deposited by floods,HB_11,900.5,69
