tax_path,tax_name,min_ani,avg_reads_per_occurrence,phylum,family
"44995:s__Methanosarcina sp001714685:""species""	3204:g__Methanosarcina:""genus""	404:f__Methanosarcinaceae:""family""	403:o__Methanosarcinales:""order""	402:c__Methanosarcinia_B:""class""	44:p__Halobacterota:""phylum""	14:k__Archaea:""kingdom""	13:l__Archaea:""lineage""	12:d__Archaea:""superkingdom""	1:root:""no rank""",Methanosarcina sp001714685,94.52550530065216,658.2903225806451,Halobacterota,Methanosarcinaceae
"59661:s__Nitrososphaera sp002494895:""species""	4992:g__Nitrososphaera:""genus""	4735:f__Nitrososphaeraceae:""family""	815:o__Nitrososphaerales:""order""	814:c__Nitrososphaeria_A:""class""	15:p__Crenarchaeota:""phylum""	14:k__Archaea:""kingdom""	13:l__Archaea:""lineage""	12:d__Archaea:""superkingdom""	1:root:""no rank""",Nitrososphaera sp002494895,93.73172352360626,166.25925925925927,Crenarchaeota,Nitrososphaeraceae
"59677:s__Methanoregula sp002495055:""species""	1325:g__Methanoregula:""genus""	1324:f__Methanoregulaceae:""family""	205:o__Methanomicrobiales:""order""	204:c__Methanomicrobia_B:""class""	44:p__Halobacterota:""phylum""	14:k__Archaea:""kingdom""	13:l__Archaea:""lineage""	12:d__Archaea:""superkingdom""	1:root:""no rank""",Methanoregula sp002495055,92.7522684564703,416.88,Halobacterota,Methanoregulaceae
"59679:s__Methanoregula sp002495065:""species""	1325:g__Methanoregula:""genus""	1324:f__Methanoregulaceae:""family""	205:o__Methanomicrobiales:""order""	204:c__Methanomicrobia_B:""class""	44:p__Halobacterota:""phylum""	14:k__Archaea:""kingdom""	13:l__Archaea:""lineage""	12:d__Archaea:""superkingdom""	1:root:""no rank""",Methanoregula sp002495065,93.10975039354216,1120.6774193548388,Halobacterota,Methanoregulaceae
"63160:s__Nitrosarchaeum sp002737445:""species""	37729:g__Nitrosarchaeum:""genus""	816:f__Nitrosopumilaceae:""family""	815:o__Nitrososphaerales:""order""	814:c__Nitrososphaeria_A:""class""	15:p__Crenarchaeota:""phylum""	14:k__Archaea:""kingdom""	13:l__Archaea:""lineage""	12:d__Archaea:""superkingdom""	1:root:""no rank""",Nitrosarchaeum sp002737445,93.18107128327584,94.0909090909091,Crenarchaeota,Nitrosopumilaceae
"67342:s__Methanoregula sp003141335:""species""	1325:g__Methanoregula:""genus""	1324:f__Methanoregulaceae:""family""	205:o__Methanomicrobiales:""order""	204:c__Methanomicrobia_B:""class""	44:p__Halobacterota:""phylum""	14:k__Archaea:""kingdom""	13:l__Archaea:""lineage""	12:d__Archaea:""superkingdom""	1:root:""no rank""",Methanoregula sp003141335,93.47361596703531,2790.4285714285716,Halobacterota,Methanoregulaceae
"74453:s__Nitrosarchaeum sp003569705:""species""	37729:g__Nitrosarchaeum:""genus""	816:f__Nitrosopumilaceae:""family""	815:o__Nitrososphaerales:""order""	814:c__Nitrososphaeria_A:""class""	15:p__Crenarchaeota:""phylum""	14:k__Archaea:""kingdom""	13:l__Archaea:""lineage""	12:d__Archaea:""superkingdom""	1:root:""no rank""",Nitrosarchaeum sp003569705,94.75598439699436,1972.5862068965516,Crenarchaeota,Nitrosopumilaceae
"78581:s__Nitrosarchaeum sp004297665:""species""	37729:g__Nitrosarchaeum:""genus""	816:f__Nitrosopumilaceae:""family""	815:o__Nitrososphaerales:""order""	814:c__Nitrososphaeria_A:""class""	15:p__Crenarchaeota:""phylum""	14:k__Archaea:""kingdom""	13:l__Archaea:""lineage""	12:d__Archaea:""superkingdom""	1:root:""no rank""",Nitrosarchaeum sp004297665,94.0946700978922,574.4827586206897,Crenarchaeota,Nitrosopumilaceae
"81041:s__Nitrosarchaeum sp005798405:""species""	37729:g__Nitrosarchaeum:""genus""	816:f__Nitrosopumilaceae:""family""	815:o__Nitrososphaerales:""order""	814:c__Nitrososphaeria_A:""class""	15:p__Crenarchaeota:""phylum""	14:k__Archaea:""kingdom""	13:l__Archaea:""lineage""	12:d__Archaea:""superkingdom""	1:root:""no rank""",Nitrosarchaeum sp005798405,93.5131455720372,379.17241379310343,Crenarchaeota,Nitrosopumilaceae
"81224:s__TA-21 sp005877345:""species""	81209:g__TA-21:""genus""	4735:f__Nitrososphaeraceae:""family""	815:o__Nitrososphaerales:""order""	814:c__Nitrososphaeria_A:""class""	15:p__Crenarchaeota:""phylum""	14:k__Archaea:""kingdom""	13:l__Archaea:""lineage""	12:d__Archaea:""superkingdom""	1:root:""no rank""",TA-21 sp005877345,93.21766420481654,319.3125,Crenarchaeota,Nitrososphaeraceae
"85370:s__TH5896 sp009377575:""species""	85369:g__TH5896:""genus""	4735:f__Nitrososphaeraceae:""family""	815:o__Nitrososphaerales:""order""	814:c__Nitrososphaeria_A:""class""	15:p__Crenarchaeota:""phylum""	14:k__Archaea:""kingdom""	13:l__Archaea:""lineage""	12:d__Archaea:""superkingdom""	1:root:""no rank""",TH5896 sp009377575,94.4009389952497,250.63333333333333,Crenarchaeota,Nitrososphaeraceae
"86253:s__Nitrosarchaeum sp009697485:""species""	37729:g__Nitrosarchaeum:""genus""	816:f__Nitrosopumilaceae:""family""	815:o__Nitrososphaerales:""order""	814:c__Nitrososphaeria_A:""class""	15:p__Crenarchaeota:""phylum""	14:k__Archaea:""kingdom""	13:l__Archaea:""lineage""	12:d__Archaea:""superkingdom""	1:root:""no rank""",Nitrosarchaeum sp009697485,94.32722714293656,181.66666666666666,Crenarchaeota,Nitrosopumilaceae
"98078:s__Nitrosarchaeum sp013140415:""species""	37729:g__Nitrosarchaeum:""genus""	816:f__Nitrosopumilaceae:""family""	815:o__Nitrososphaerales:""order""	814:c__Nitrososphaeria_A:""class""	15:p__Crenarchaeota:""phylum""	14:k__Archaea:""kingdom""	13:l__Archaea:""lineage""	12:d__Archaea:""superkingdom""	1:root:""no rank""",Nitrosarchaeum sp013140415,94.30052428006962,566.6551724137931,Crenarchaeota,Nitrosopumilaceae
"100144:s__UBA8941 sp8941u:""species""	30900:g__UBA8941:""genus""	5356:f__TCS64:""family""	5355:o__TCS64:""order""	2804:c__Bathyarchaeia_A:""class""	15:p__Crenarchaeota:""phylum""	14:k__Archaea:""kingdom""	13:l__Archaea:""lineage""	12:d__Archaea:""superkingdom""	1:root:""no rank""",UBA8941 sp8941u,92.87382176045236,1088.4583333333333,Crenarchaeota,TCS64
