tax_path,tax_name,min_ani,avg_reads_per_occurrence,phylum,family
"38405:s__Fonsibacter sp018882565:""species""	27148:g__Fonsibacter:""genus""	19183:f__Pelagibacteraceae:""family""	19182:o__Pelagibacterales:""order""	164:c__Alphaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Fonsibacter sp018882565,93.36652763616704,127.4074074074074,Proteobacteria,Pelagibacteraceae
"38700:s__Fonsibacter sp000419465:""species""	27148:g__Fonsibacter:""genus""	19183:f__Pelagibacteraceae:""family""	19182:o__Pelagibacterales:""order""	164:c__Alphaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Fonsibacter sp000419465,93.27847730403474,122.82142857142857,Proteobacteria,Pelagibacteraceae
"38703:s__Fonsibacter sp000510845:""species""	27148:g__Fonsibacter:""genus""	19183:f__Pelagibacteraceae:""family""	19182:o__Pelagibacterales:""order""	164:c__Alphaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Fonsibacter sp000510845,93.74387903032785,307.6333333333333,Proteobacteria,Pelagibacteraceae
"42018:s__IMCC26256 sp001023575:""species""	5195:g__IMCC26256:""genus""	5194:f__IMCC26256:""family""	5193:o__IMCC26256:""order""	681:c__Acidimicrobiia:""class""	343:p__Actinobacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",IMCC26256 sp001023575,95.42272891726344,5764.242424242424,Actinobacteriota,IMCC26256
"42021:s__IMCC26207 sp001025035:""species""	7313:g__IMCC26207:""genus""	7312:f__Microtrichaceae_B:""family""	1342:o__Microtrichales:""order""	681:c__Acidimicrobiia:""class""	343:p__Actinobacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",IMCC26207 sp001025035,94.78747012422842,738.5625,Actinobacteriota,Microtrichaceae
"42483:s__SG8-4 sp001303465:""species""	5299:g__SG8-4:""genus""	5298:f__SG8-4_A:""family""	2951:o__SG8-4:""order""	1359:c__Phycisphaerae:""class""	556:p__Planctomycetota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",SG8-4 sp001303465,92.29714075991484,192.76,Planctomycetota,SG8-4
"42954:s__CSP1-5 sp001443495:""species""	30617:g__CSP1-5:""genus""	30616:f__CSP1-5:""family""	15305:o__Methylomirabilales:""order""	5554:c__Methylomirabilia:""class""	5553:p__Methylomirabilota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",CSP1-5 sp001443495,93.83262367487607,1686.4827586206898,Methylomirabilota,CSP1-5
"43103:s__Sphingorhabdus_B sp001464315:""species""	43102:g__Sphingorhabdus_B:""genus""	1413:f__Sphingomonadaceae:""family""	1412:o__Sphingomonadales:""order""	164:c__Alphaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Sphingorhabdus_B sp001464315,93.0971706862265,114.9,Proteobacteria,Sphingomonadaceae
"43142:s__JJ008 sp001464625:""species""	2072:g__JJ008:""genus""	748:f__Chitinophagaceae:""family""	692:o__Chitinophagales:""order""	65:c__Bacteroidia:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",JJ008 sp001464625,92.58623920977524,172.75,Bacteroidota,Chitinophagaceae
"45327:s__Reyranella sp001767945:""species""	14052:g__Reyranella:""genus""	13662:f__Reyranellaceae:""family""	13661:o__Reyranellales:""order""	164:c__Alphaproteobacteria:""class""	71:p__Proteobacteria:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Reyranella sp001767945,92.73850220188471,371.1904761904762,Proteobacteria,Reyranellaceae
"45346:s__UBA6024 sp003537645:""species""	11959:g__UBA6024:""genus""	1197:f__Prolixibacteraceae:""family""	124:o__Bacteroidales:""order""	65:c__Bacteroidia:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",UBA6024 sp003537645,92.82570352959738,139.42307692307693,Bacteroidota,Prolixibacteraceae
"45631:s__RBG-16-66-30 sp001773855:""species""	45630:g__RBG-16-66-30_A:""genus""	45629:f__RBG-16-66-30:""family""	2475:o__Aminicenantales:""order""	2392:c__Aminicenantia:""class""	353:p__Acidobacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",RBG-16-66-30 sp001773855,93.0138420487954,2323.681818181818,Acidobacteriota,RBG-16-66-30
