Middle_depth,RBG-16-66-30 sp001775755,RBG-16-66-30 sp001775715,GWA2-58-10 sp001780825,RBG-13-53-26 sp001795035,0-14-3-00-41-53 sp002780895,ER46 sp002304435,UBA1163 sp002327885,UBA1429 sp002329325,UBA2258 sp002347155,PALSA-986 sp003133625,UBA4085 sp003154255,FEN-1349 sp003153915,UBA8522 sp003524335,B4-G1 sp003648125,RBG-16-66-30 sp011048485,NIOZ-UU13 sp013202635,JABMQX01 sp013203085,JABMQG01 sp013203365,UBA8941 sp8941u,Kmv42 sp014859105,SM1-50 sp014894395,UBA2258 sp016867815,JAFGPS01 sp016933295,UBA2258 sp016935295,JAFGQJ01 sp016935715,RBG-16-66-30 sp017883305,UBA8941 sp017883585,UBA8522 sp017886205,JAGONM01 sp017993055,UBA2258 sp903908785,UBA8941 sp001774245,FEN-33 sp003135935,Fen-1077 sp003141235,PALSA-986 sp003141855,PALSA-986 sp003165195,PALSA-986 sp003589585,B46-G15 sp003662205,E44-bin88 sp013202445,JACWAE01 sp014874385,VGYT01 sp016872895,SG8-32-3 sp016927015,SM23-28-2 sp001303545,RBG-16-57-9 sp001775965,E44-bin10 sp004377135,JACAER01 sp013388745,JACQON01 sp016202545,RBG-16-57-9 sp016934355,Actinomycetospora sp902805495,CSP1-2 sp001443445,DTKJ01 sp011333555,VGWZ01 sp016873595,DTHB01 sp011334855,DRWE01 sp011373735,Desulfosporosinus sp001516045,0-14-0-80-60-11 sp016874915,SG8-32-3 sp016927895,FEN-987 sp001768965,RBG-13-51-18 sp001796495,OWC5 sp003345595,Hydromicrobium sp004376325,9FT-COMBO-48-23 sp016783155,9FT-COMBO-48-23 sp016865855,0-14-0-80-60-11 sp016874945,9FT-COMBO-48-23 sp016875875,RBG-13-51-18 sp016926705,Hydromicrobium sp018894445,E44-bin46 sp004376105,BS750m-G39 sp016783245,VGFA01 sp016869025,DRWE01 sp011388385,RBG-16-49-23 sp016875155
0.0,0.01224743,0.015309813,0.034016676,0.038636327,0.016057331,0.030050507,0.056152716,0.05311303,0.027654955,0.023253081,0.0136057455,0.04179465,0.012154077,0.017532418,0.03371293,0.024761166,0.023532864,0.015423824,0.014488368,0.022330495,0.050294247,0.01959218,0.046355546,0.022606852,0.021589436,0.011840418,0.035099115,0.03658939,0.016085066,0.018953018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,0.01777773,0,0,0.020990271,0,0.021927515,0,0,0.012169047,0.028860366,0.012181016,0.020397862,0,0,0,0.03424837,0.05762902,0.014726915,0.015096722,0.02810221,0.057558376,0.013969164,0,0.028720168,0.01358046,0,0.012580314,0,0.024301955,0.012632818,0.01950612,0.026906433,0.033373922,0.024717882,0.034388825,0.02787594,0.013025063,0.039389495,0.027698033,0.020440128,0.11234655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.5,0,0,0,0.018704688,0,0,0,0,0,0.02187434,0,0.012942203,0,0,0,0.02598006,0.037227917,0.017217647,0,0.03904843,0,0,0,0,0,0,0,0.020723172,0.02597431,0,0,0,0.07798951,0.027723849,0.03334118,0.034963533,0.02672316,0,0.020291293,0.027577106,0.030352095,0.0458791,0.02390832,0.03078696,0.041686967,0.039876636,0.02775601,0.025181178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.5,0,0,0.026799805,0.023261147,0,0.039156657,0,0,0,0.027019354,0,0.021068806,0,0.030133374,0,0.043322563,0.025299994,0,0,0.043287683,0,0,0,0,0.066036746,0,0,0,0.022139879,0,0,0.021603728,0,0.028099513,0.03348843,0,0,0,0.024964837,0,0.03469916,0.030856954,0.028564464,0.025901513,0.042359825,0.032532036,0.030634236,0,0.017632395,0.015883936,0.036115255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84.5,0,0,0,0.0349605,0,0.03324516,0,0,0,0.022306526,0.026841663,0,0,0,0,0.04608229,0.064568676,0,0,0.011995412,0,0,0,0,0.013137604,0,0,0,0,0,0,0.021733357,0,0.02651432,0.05186459,0.03605196,0.030141596,0,0.025395965,0,0.092674606,0,0.017182749,0,0.041002356,0.036306806,0.024357507,0,0,0,0.019269727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102.0,0,0.011170168,0,0.035744924,0,0.0681125,0,0.04721626,0,0,0.058653183,0.03302511,0.018337557,0,0.03177225,0.04932146,0.014945497,0,0.012782627,0.0347808,0,0,0.047828164,0,0.042246655,0.008874643,0.008056833,0,0.022034306,0,0.0059553687,0,0,0.024507612,0.08147515,0.025437916,0,0,0.027777744,0.017776392,0.026529828,0.032207903,0,0,0.06548402,0,0,0.038189802,0,0.022800596,0.034749884,0.009099053,0.03417825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122.0,0.017045537,0.01816295,0,0.06622377,0,0,0,0.04058193,0,0.03123417,0.022144878,0,0.0177915,0,0.016429473,0.046395887,0.028919216,0.024050908,0.01076082,0,0,0,0.061363354,0,0.023007484,0.010758162,0.014309538,0.006132358,0.042623356,0,0.016288329,0.024060234,0.066841744,0.027941998,0.05767602,0.041060455,0.028867811,0,0.026710441,0,0.07464853,0.018355004,0.009332952,0,0.08165733,0.01726127,0.015084303,0.039308246,0.014064975,0.038483996,0,0.020591354,0.025904363,0.025132144,0.013970007,0.06437256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152.0,0,0.011009749,0,0.029580662,0.02228417,0.0265708,0,0.022924207,0,0,0,0.040542204,0.016471416,0,0,0.03779664,0.026670787,0,0,0,0,0,0.053417593,0,0.011759636,0,0,0.008439886,0.023692101,0,0,0.05491192,0.017567815,0.02684199,0.034577604,0,0.008836411,0,0.024168279,0,0.035056144,0,0.021936877,0.016210178,0.022763617,0.04399436,0.0103967395,0.02866612,0.010205294,0.012527485,0.025947819,0.011164586,0,0.03184889,0.008772555,0.062383555,0.027765669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182.0,0,0.012074434,0.017637895,0.032905243,0.012198936,0,0,0,0,0,0.017026516,0.03321257,0.008443964,0.030312816,0,0.014367386,0.040235527,0.024660213,0,0.012793461,0.017918043,0.019916896,0.07041981,0,0.028305313,0,0,0.0077760834,0.029555857,0,0.014534118,0.024971372,0.019941611,0.01829483,0,0,0.013939074,0.028567418,0.020749532,0.024069082,0.027659956,0.02989348,0.021808295,0.012411213,0.023042623,0.045357797,0.021399176,0.042082787,0.006458584,0,0.03897049,0.012767335,0,0.010127109,0.012195532,0.0419536,0.015529588,0.02217776,0.044794086,0.04237559,0.026331533,0.02174199,0.005578232,0.022975996,0.033222176,0.026570316,0,0,0,0,0
209.0,0,0,0.028090373,0.023240646,0.015258794,0,0,0.076451674,0.018162541,0,0.023579016,0.012973514,0.024782034,0.06583551,0,0.049767587,0.02302907,0.0421379,0.0098670665,0,0.021617655,0.030586397,0.02525689,0.019998003,0.029617984,0,0.012676816,0.032002546,0.023008924,0.025564509,0.021239199,0.035574496,0,0.021387285,0,0,0.03325399,0.01093781,0.027208222,0.018973239,0,0.035825014,0.01745082,0,0.044397708,0.03598341,0.044987176,0.051247716,0.011824981,0,0.014984934,0.0131371915,0,0.03599999,0,0.023338025,0,0.020636125,0.028554872,0.031166047,0,0.016503764,0,0.035176203,0.031069018,0.02331631,0.06313074,0.014704464,0,0,0
229.0,0,0,0.037434354,0,0.012498103,0,0,0.07850758,0.032496903,0,0.037132666,0.023196137,0.016984338,0.023022844,0,0,0.025970848,0.033274323,0.014758842,0,0.022392768,0.016172182,0,0.03569013,0.037701298,0,0.01800598,0.014932543,0.022298483,0.02055043,0.02773637,0.04845571,0,0.020510154,0,0,0,0.039752845,0.02390468,0.019101389,0.019245666,0.039288033,0.008937655,0,0.09300343,0,0.03305905,0,0.006352739,0.010119871,0.009151105,0,0,0.040405072,0,0.02054975,0,0.011890007,0.028168477,0.032417387,0.023617938,0.02155769,0,0.032215133,0.041203465,0.017380571,0.038498823,0.04367294,0.015062157,0,0
269.0,0,0,0.02256808,0,0.013775767,0,0,0,0.018944899,0,0,0.016235076,0.013050884,0,0,0,0,0,0.008462387,0,0,0.028057806,0,0.021857476,0,0,0,0.01164434,0.022782903,0.028253531,0.010759985,0,0,0,0,0,0.050651453,0.03489355,0,0.00913019,0.031973545,0.032244615,0,0,0,0.0412493,0,0,0.010625139,0.03737921,0.0148008205,0.034356296,0.02384916,0.031988956,0,0.039089788,0.011996537,0,0,0,0.027172828,0.01644193,0,0.014756086,0.037888374,0,0.017166195,0.022524595,0.013114602,0,0
300.5,0,0,0.01107824,0,0.012020528,0,0,0,0.02348491,0,0.02375705,0.018788325,0,0,0,0.013396827,0.013791021,0.023693712,0.016041052,0,0.008819377,0.026838765,0.016885256,0.035536204,0,0,0.017832467,0.0072016874,0.033007495,0.0325965,0.022653364,0,0.018386181,0.020713095,0,0,0,0.0108891,0.016491981,0.015685722,0.0081158895,0.038859792,0.018940281,0,0,0.054609936,0,0,0.011596313,0,0.0098426845,0.024542691,0.0358871,0,0,0.02006948,0.03851078,0,0.023552096,0,0.02740575,0.02959964,0,0.02281388,0.031319477,0.010412978,0.0473954,0.020061126,0.013032132,0,0
350.5,0,0,0,0,0.039377794,0,0,0,0.031793214,0,0.033976242,0.015342052,0.020176,0,0,0.030939475,0.043329276,0,0.026960302,0.045359522,0,0.03950217,0.03728253,0.05494619,0,0,0.022421177,0.014132273,0.036129512,0.03217532,0.047248468,0,0,0.030907165,0,0,0.044471767,0.03576248,0,0.017936254,0,0.041633315,0.008722604,0,0,0,0.023715306,0,0.019548398,0,0.034073316,0,0.038795866,0,0,0.027919548,0.010471768,0.058536943,0.027679143,0.029257214,0.025798185,0.027595231,0.0143736135,0.036154144,0.0785095,0.013232852,0.036749426,0.027581478,0.02324026,0,0
408.0,0.021041265,0.015347978,0,0,0,0,0,0,0,0.015948983,0,0.016605895,0.04207364,0,0.068605945,0,0,0,0.022006953,0.023582077,0,0,0,0,0.015555792,0.028966555,0.011434823,0.056003083,0.034347367,0,0.041517366,0.031882104,0.05202458,0.025239151,0.04535887,0.032047097,0,0,0,0,0.051151928,0,0,0,0.027954264,0,0,0,0.043883134,0,0.01922347,0,0.054685436,0,0.02972336,0,0,0,0,0,0,0,0.021910185,0,0,0,0,0,0,0,0
