tax_name,tax_path,phylum,class,family,plant_growthform,plant_growthform_sim,indicated_type,tax_label
Dryopteris,"3287:Dryopteris:""genus""	2014984:Dryopteridoideae:""subfamily""	29607:Dryopteridaceae:""family""	1203512:Polypodiineae:""suborder""	3268:Polypodiales:""order""	1521262:Polypodiidae:""subclass""	241806:Polypodiopsida:""class""	78536:Euphyllophyta:""clade""	58023:Tracheophyta:""clade""	3193:Embryophyta:""clade""	131221:Streptophytina:""subphylum""	35493:Streptophyta:""phylum""	33090:Viridiplantae:""kingdom""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",Streptophyta,Polypodiopsida,Dryopteridaceae,forb:herb:shrub,forb/herb/shrub,(e) Forest herbs and ferns ,forb:herb:shrub
Ranunculus,"3445:Ranunculus:""genus""	1463148:Ranunculeae:""tribe""	1463138:Ranunculoideae:""subfamily""	3440:Ranunculaceae:""family""	41768:Ranunculales:""order""	1437183:Mesangiospermae:""clade""	3398:Magnoliopsida:""class""	58024:Spermatophyta:""clade""	78536:Euphyllophyta:""clade""	58023:Tracheophyta:""clade""	3193:Embryophyta:""clade""	131221:Streptophytina:""subphylum""	35493:Streptophyta:""phylum""	33090:Viridiplantae:""kingdom""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",Streptophyta,Magnoliopsida,Ranunculaceae,forb:herb:shrub,forb/herb/shrub,(g) Fresh meadows and pastures ,forb:herb:shrub
Ranunculus,"3445:Ranunculus:""genus""	1463148:Ranunculeae:""tribe""	1463138:Ranunculoideae:""subfamily""	3440:Ranunculaceae:""family""	41768:Ranunculales:""order""	1437183:Mesangiospermae:""clade""	3398:Magnoliopsida:""class""	58024:Spermatophyta:""clade""	78536:Euphyllophyta:""clade""	58023:Tracheophyta:""clade""	3193:Embryophyta:""clade""	131221:Streptophytina:""subphylum""	35493:Streptophyta:""phylum""	33090:Viridiplantae:""kingdom""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",Streptophyta,Magnoliopsida,Ranunculaceae,forb:herb:shrub,forb/herb/shrub,(h) Wet meadows and salt meadows ,forb:herb:shrub
Ranunculus,"3445:Ranunculus:""genus""	1463148:Ranunculeae:""tribe""	1463138:Ranunculoideae:""subfamily""	3440:Ranunculaceae:""family""	41768:Ranunculales:""order""	1437183:Mesangiospermae:""clade""	3398:Magnoliopsida:""class""	58024:Spermatophyta:""clade""	78536:Euphyllophyta:""clade""	58023:Tracheophyta:""clade""	3193:Embryophyta:""clade""	131221:Streptophytina:""subphylum""	35493:Streptophyta:""phylum""	33090:Viridiplantae:""kingdom""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",Streptophyta,Magnoliopsida,Ranunculaceae,forb:herb:shrub,forb/herb/shrub,(j) Cultivated land ,forb:herb:shrub
Caltha,"3448:Caltha:""genus""	1463144:Caltheae:""tribe""	1463138:Ranunculoideae:""subfamily""	3440:Ranunculaceae:""family""	41768:Ranunculales:""order""	1437183:Mesangiospermae:""clade""	3398:Magnoliopsida:""class""	58024:Spermatophyta:""clade""	78536:Euphyllophyta:""clade""	58023:Tracheophyta:""clade""	3193:Embryophyta:""clade""	131221:Streptophytina:""subphylum""	35493:Streptophyta:""phylum""	33090:Viridiplantae:""kingdom""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",Streptophyta,Magnoliopsida,Ranunculaceae,forb:herb,forb/herb/shrub,(h) Wet meadows and salt meadows ,forb:herb
Urtica,"3500:Urtica:""genus""	3499:Urticaceae:""family""	3744:Rosales:""order""	91835:fabids:""clade""	71275:rosids:""clade""	1437201:Pentapetalae:""clade""	91827:Gunneridae:""clade""	71240:eudicotyledons:""clade""	1437183:Mesangiospermae:""clade""	3398:Magnoliopsida:""class""	58024:Spermatophyta:""clade""	78536:Euphyllophyta:""clade""	58023:Tracheophyta:""clade""	3193:Embryophyta:""clade""	131221:Streptophytina:""subphylum""	35493:Streptophyta:""phylum""	33090:Viridiplantae:""kingdom""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",Streptophyta,Magnoliopsida,Urticaceae,forb:herb:shrub:tree,other/unclear,(i) Ruderal communities ,forb:herb:shrub:tree
Betula,"3504:Betula:""genus""	3514:Betulaceae:""family""	3502:Fagales:""order""	91835:fabids:""clade""	71275:rosids:""clade""	1437201:Pentapetalae:""clade""	91827:Gunneridae:""clade""	71240:eudicotyledons:""clade""	1437183:Mesangiospermae:""clade""	3398:Magnoliopsida:""class""	58024:Spermatophyta:""clade""	78536:Euphyllophyta:""clade""	58023:Tracheophyta:""clade""	3193:Embryophyta:""clade""	131221:Streptophytina:""subphylum""	35493:Streptophyta:""phylum""	33090:Viridiplantae:""kingdom""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",Streptophyta,Magnoliopsida,Betulaceae,shrub:tree,shrub/tree,(c) Light-demanding trees and shrubs ,shrub:tree
Alnus,"3515:Alnus:""genus""	3514:Betulaceae:""family""	3502:Fagales:""order""	91835:fabids:""clade""	71275:rosids:""clade""	1437201:Pentapetalae:""clade""	91827:Gunneridae:""clade""	71240:eudicotyledons:""clade""	1437183:Mesangiospermae:""clade""	3398:Magnoliopsida:""class""	58024:Spermatophyta:""clade""	78536:Euphyllophyta:""clade""	58023:Tracheophyta:""clade""	3193:Embryophyta:""clade""	131221:Streptophytina:""subphylum""	35493:Streptophyta:""phylum""	33090:Viridiplantae:""kingdom""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",Streptophyta,Magnoliopsida,Betulaceae,shrub:tree,shrub/tree,(a) Trees and shrubs of damp soils ,shrub:tree
Rumex,"3618:Rumex:""genus""	1110386:Rumiceae:""tribe""	1110380:Polygonoideae:""subfamily""	3615:Polygonaceae:""family""	3524:Caryophyllales:""order""	1437201:Pentapetalae:""clade""	91827:Gunneridae:""clade""	71240:eudicotyledons:""clade""	1437183:Mesangiospermae:""clade""	3398:Magnoliopsida:""class""	58024:Spermatophyta:""clade""	78536:Euphyllophyta:""clade""	58023:Tracheophyta:""clade""	3193:Embryophyta:""clade""	131221:Streptophytina:""subphylum""	35493:Streptophyta:""phylum""	33090:Viridiplantae:""kingdom""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",Streptophyta,Magnoliopsida,Polygonaceae,forb:herb:shrub,forb/herb/shrub,(g) Fresh meadows and pastures ,forb:herb:shrub
Rumex,"3618:Rumex:""genus""	1110386:Rumiceae:""tribe""	1110380:Polygonoideae:""subfamily""	3615:Polygonaceae:""family""	3524:Caryophyllales:""order""	1437201:Pentapetalae:""clade""	91827:Gunneridae:""clade""	71240:eudicotyledons:""clade""	1437183:Mesangiospermae:""clade""	3398:Magnoliopsida:""class""	58024:Spermatophyta:""clade""	78536:Euphyllophyta:""clade""	58023:Tracheophyta:""clade""	3193:Embryophyta:""clade""	131221:Streptophytina:""subphylum""	35493:Streptophyta:""phylum""	33090:Viridiplantae:""kingdom""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",Streptophyta,Magnoliopsida,Polygonaceae,forb:herb:shrub,forb/herb/shrub,(i) Ruderal communities ,forb:herb:shrub
