Middle_depth,Nostoc,Scytonema,Saccharomyces,Aspergillus,Epichloe,Nannochloropsis,Ichthyophthirius,Lumbricus,Biomphalaria,Culex,Drosophila,Phasianus,Sorex,Microtus,Monoraphidium,Hirsutella,Leptolyngbya,Armillaria,Lachnellula,Darwinula,Aphanomyces,Nemurella,Isoperla,Chamaesiphon,Oppiella,Myodes,Dolichospermum,Boeremia,Ilyonectria,Schizostauron,Chlamydomonas,Colletotrichum,Tubifex,Daphnia,Gallus,Sus,Ovis,Brettanomyces,Nemoura,Eurytemora,Mychonastes,Limnephilus,Synechococcus,Pseudanabaena,Oscillatoria,Melampsora,Puccinia,Suillus,Melolontha,Salmo,Bufo,Rana,Myotis,Homo,Capra,Acomys,Rattus,Pipistrellus,Coregonus,Barbus,Hyaloscypha,Leuctra,Cyanobium,Aphanizomenon,Calothrix,Hydrurus,Eimeria,Caenorhabditis,Ixodes,Anopheles,Acipenser,Botrytis,Coccomyxa,Coniophora,Megachile,Auxenochlorella,Notodromas,Parasteatoda,Parastagonospora,Nitella,Phytophthora,Aureobasidium,Dolichovespula,Perca,Equus,Arvicola,Mus,Gloeobacter,Asterionella,Microcoleus,Planktothrix,Piscicola,Varroa,Polydrusus,Parastrongyloides,Cyanistes,Cyprideis,Psylliodes,Discostella,Ulnaria,Acrobasis,Sphaerospermopsis,Tilletiopsis,Skeletonema,Talaromyces,Ustilago,Plasmodium,Cyprinus,Salvelinus,Meles,Bison,Bos,Diaporthe,Pseudogymnoascus,Operophtera,Brachyptera,Thermosynechococcus,Truncatella,Bibio,Rhizophagus,Medioppia,Anabaena,Debaryomyces,Metarhizium,Chironomus,Priapulus,Daldinia,Cordyceps,Geitlerinema,Paraphaeosphaeria,Sicus,Kovacikia,Alternaria,Rhagoletis,Bombus,Andrena,Peronospora,Morchella,Vulpes,Castor,Tuber,Hypoxylon,Cylindrospermum,Aphis,Xestia,Hydra,Thalassiosira,Neonectria,Pochonia,Cryptomonas,Acyrthosiphon,Talpa,Glyphotaelius,Esox,Gaeumannomyces,Balearica,Chroococcidiopsis,Spiniferodinium,Scherffelia,Fusarium,Anguilla,Erinaceus,Sciurus,Epinotia,Erithacus,Choricystis,Tenthredo,Diaphanosoma,Phosphuga,Heterocope,Hygrocybe,Mollisia,Sheathia,Eubosmina,Cosmia,Lutra,Cervus,Amphipyra,Anas,Mustela,Lymantria,Phaeoacremonium,Oryctolagus,Eptesicus,Ennomos,Carassius,Gavia,Philonthus,Trachydiscus,Didymosphenia,Monodopsis,Paxillus,Trichoderma,Myzus,Chara,Wolfiporia,Crinalium,Annulohypoxylon,Helobdella,Formica,Rangifer,Lagopus
0.0,43,11,25,29,13,74,17,319,12,21,34,14,12,15,26,12,95,149,25,163,11,16,13,55,11,24,179,32,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,34,13,26,68,91,160,17,745,12,40,50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.5,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,667,15,52,73,63,33,19,64,16,76,16,30,45,17,24,15,204,63,24,41,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.5,0,0,0,0,27,0,0,0,0,0,0,0,17,67,0,0,95,0,0,103,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,21,0,0,74,0,0,12,0,0,0,86,0,42,0,10,0,25,123,89,0,0,339,66,32,11,28,12,10,21,10,74,19,14,10,24,23,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84.5,0,0,0,0,0,0,0,235,18,0,0,10,0,0,0,0,0,56,0,115,0,0,0,86,0,79,0,16,0,0,0,0,0,91,26,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,21,0,0,0,0,217,62,0,0,365,77,0,0,0,0,14,0,0,84,0,0,0,0,0,0,25,38,10,54,12,482,13,35,47,30,350,21,14,21,10,15,11,14,33,27,68,77,10,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102.0,0,0,0,0,0,0,0,0,0,28,0,0,0,100,0,0,0,0,0,175,0,0,0,94,35,243,307,0,0,0,0,19,0,0,71,213,62,55,0,0,0,0,0,0,98,0,0,0,0,109,0,0,0,42,0,0,0,0,145,126,16,95,0,35,0,0,38,0,0,20,0,453,0,0,0,0,0,0,0,0,17,183,0,603,77,158,0,0,532,0,0,0,0,0,0,0,0,30,0,117,0,0,0,28,14,68,63,72,61,25,11,61,17,15,30,13,13,54,116,495,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122.0,0,0,95,0,0,0,0,545,0,0,46,0,15,46,0,63,0,0,15,113,0,24,0,81,0,191,266,0,0,0,0,0,0,0,0,133,193,0,32,0,0,38,683,19,0,253,0,0,19,98,41,112,19,0,0,0,0,0,112,45,16,0,331,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,36,45,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,111,14,87,14,24,16,16,14,21,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152.0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,138,0,0,0,145,0,0,474,49,25,0,0,0,0,0,0,309,174,0,0,0,0,0,0,0,86,0,0,0,0,92,23,135,0,0,0,0,0,0,0,126,0,0,0,0,36,11,33,0,0,0,0,41,0,0,0,0,0,0,21,33,0,0,0,175,0,0,0,0,393,32,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,67,54,0,65,0,0,0,12,0,0,0,0,0,0,0,20,195,0,0,0,0,0,0,0,0,0,0,35,20,10,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182.0,0,0,0,0,64,0,0,622,0,0,0,0,0,61,0,82,0,0,12,71,0,0,0,94,28,243,0,0,29,0,0,24,0,0,0,316,246,0,0,0,0,0,0,0,0,0,0,0,22,76,0,101,0,19,99,0,0,0,92,0,210,0,0,0,27,0,19,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,172,36,0,0,0,0,0,0,0,12,72,0,0,0,0,0,0,47,0,11,45,0,0,11,40,0,0,0,0,51,0,0,0,130,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,15,12,15,11,13,21,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209.0,0,0,0,0,48,0,0,0,15,0,0,0,0,57,0,0,91,0,0,0,0,0,0,69,0,293,0,0,36,0,0,0,0,0,17,273,152,0,0,0,0,0,0,0,61,0,0,0,36,0,0,0,0,0,95,12,25,0,166,51,127,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,65,12,0,0,167,0,66,0,0,0,33,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,33,0,0,57,0,0,0,0,0,0,0,0,0,0,490,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,91,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
