tax_name,tax_path,foreign
Darwinula,"69354:Darwinula:""genus""	69351:Darwinulidae:""family""	116575:Darwinuloidea:""superfamily""	116574:Darwinulocopina:""suborder""	84318:Podocopida:""order""	43953:Podocopa:""subclass""	6670:Ostracoda:""class""	2172819:Oligostraca:""superclass""	6657:Crustacea:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",FALSE
Leuctra,"143734:Leuctra:""genus""	143769:Leuctrinae:""subfamily""	143733:Leuctridae:""family""	70405:Nemouroidea:""superfamily""	50622:Plecoptera:""order""	33341:Polyneoptera:""cohort""	33340:Neoptera:""infraclass""	7496:Pterygota:""subclass""	85512:Dicondylia:""clade""	50557:Insecta:""class""	6960:Hexapoda:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",FALSE
Medioppia,"1979940:Medioppia:""genus""	229795:Oppiidae:""family""	229794:Oppioidea:""superfamily""	229894:Brachypylina:""infraorder""	66551:Oribatida:""suborder""	83137:Sarcoptiformes:""order""	6946:Acariformes:""superorder""	6933:Acari:""subclass""	6854:Arachnida:""class""	6843:Chelicerata:""subphylum""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",FALSE
Procambarus,"6726:Procambarus:""genus""	72430:Cambarinae:""subfamily""	6725:Cambaridae:""family""	6724:Astacoidea:""superfamily""	6712:Astacidea:""infraorder""	6692:Pleocyemata:""suborder""	6683:Decapoda:""order""	6682:Eucarida:""superorder""	72041:Eumalacostraca:""subclass""	6681:Malacostraca:""class""	2172821:Multicrustacea:""superclass""	6657:Crustacea:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",TRUE
Eurytemora,"88014:Eurytemora:""genus""	88013:Temoridae:""family""	6833:Calanoida:""order""	116570:Gymnoplea:""superorder""	116569:Neocopepoda:""infraclass""	6830:Copepoda:""subclass""	72037:Hexanauplia:""class""	2172821:Multicrustacea:""superclass""	6657:Crustacea:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",FALSE
Isoperla,"143767:Isoperla:""genus""	466866:Isoperlinae:""subfamily""	50623:Perlodidae:""family""	70404:Perloidea:""superfamily""	50622:Plecoptera:""order""	33341:Polyneoptera:""cohort""	33340:Neoptera:""infraclass""	7496:Pterygota:""subclass""	85512:Dicondylia:""clade""	50557:Insecta:""class""	6960:Hexapoda:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",FALSE
Penaeus,"133894:Penaeus:""genus""	6685:Penaeidae:""family""	111520:Penaeoidea:""superfamily""	6684:Dendrobranchiata:""suborder""	6683:Decapoda:""order""	6682:Eucarida:""superorder""	72041:Eumalacostraca:""subclass""	6681:Malacostraca:""class""	2172821:Multicrustacea:""superclass""	6657:Crustacea:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",TRUE
Oppiella,"334624:Oppiella:""genus""	229795:Oppiidae:""family""	229794:Oppioidea:""superfamily""	229894:Brachypylina:""infraorder""	66551:Oribatida:""suborder""	83137:Sarcoptiformes:""order""	6946:Acariformes:""superorder""	6933:Acari:""subclass""	6854:Arachnida:""class""	6843:Chelicerata:""subphylum""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",FALSE
Drosophila,"7215:Drosophila:""genus""	46877:Drosophilini:""tribe""	43845:Drosophilinae:""subfamily""	7214:Drosophilidae:""family""	43746:Ephydroidea:""superfamily""	43741:Acalyptratae:""no rank""	43738:Schizophora:""no rank""	480117:Cyclorrhapha:""clade""	480118:Eremoneura:""clade""	43733:Muscomorpha:""infraorder""	7203:Brachycera:""suborder""	7147:Diptera:""order""	33392:Endopterygota:""cohort""	33340:Neoptera:""infraclass""	7496:Pterygota:""subclass""	85512:Dicondylia:""clade""	50557:Insecta:""class""	6960:Hexapoda:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",FALSE
Timema,"61471:Timema:""genus""	213546:Timematidae:""family""	213545:Timematoidea:""superfamily""	523712:Timematodea:""suborder""	7020:Phasmatodea:""order""	33341:Polyneoptera:""cohort""	33340:Neoptera:""infraclass""	7496:Pterygota:""subclass""	85512:Dicondylia:""clade""	50557:Insecta:""class""	6960:Hexapoda:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",TRUE
