Middle_depth,Dryopteris,Larix,Ranunculus,Caltha,Urtica,Betula,Alnus,Rumex,Fragaria,Pyrus,Saxifraga,Lotus,Trifolium,Vicia,Acer,Oxalis,Hedera,Solanum,Triticum,Zea,Festuca,Carex,Corylus,Sanicula,Utricularia,Vaccinium,Agrostis,Anthoxanthum,Briza,Calamagrostis,Elymus,Phragmites,Polygonatum,Juglans,Valeriana,Astragalus,Fagus,Mentha,Aruncus,Potentilla,Chrysosplenium,Ulmus,Myriophyllum,Galium,Plantago,Zannichellia,Woodsia,Thelypteris,Ajuga,Molinia,Salix,Seseli,Pimpinella,Bellis,Centaurea,Eleocharis,Scirpus,Hepatica,Calystegia,Aconitum,Peucedanum,Lonicera,Thymus,Veratrum,Lamium,Leontodon,Solidago,Lysimachia,Braya,Doronicum,Succisa,Myosotis,Lycopus,Scorzoneroides,Thuja,Humulus,Morus,Quercus,Vitis,Rhamnus,Populus,Prunus,Lathyrus,Medicago,Linum,Daucus,Pastinaca,Veronica,Artemisia,Bromus,Panicum,Poa,Carpinus,Achillea,Calluna,Alopecurus,Phalaris,Glyceria,Laserpitium,Aegopodium,Angelica,Cirsium,Eriophorum,Hedysarum,Hibiscus,Dryas,Rorippa,Stachys,Hypericum,Sanguisorba,Lapsana,Polystichum,Abies,Cedrus,Pinus,Clematis,Cannabis,Malus,Geum,Laburnum,Phaseolus,Geranium,Convolvulus,Ceratophyllum,Sparganium,Lythrum,Potamogeton,Cichorium,Erica,Brachypodium,Deschampsia,Filipendula,Rubus,Menyanthes,Cystopteris,Gymnocarpium,Impatiens,Fraxinus,Origanum,Prunella,Hippuris,Trollius,Campanula,Anthriscus,Heracleum,Erigeron,Pedicularis,Empetrum,Rhinanthus,Thalictrum,Ammi,Primula,Arrhenatherum,Melampyrum,Crocus,Persicaria,Tilia,Carduus,Leucanthemum,Conopodium,Anthyllis,Bistorta,Cynoglossum,Clinopodium,Cynosurus,Phyteuma,Stuckenia,Vahlodea,Comarum,Betonica,Hedlundia,Equisetum,Picea,Spinacia,Silene,Cerastium,Rosa,Ribes,Lupinus,Euphorbia,Sambucus,Cynara,Cornus,Secale,Typha,Chamaedaphne,Crepis,Juncus,Pyrola,Ophioglossum,Epipactis,Melica,Nardus,Gentiana,Anemone,Crataegus,Sorbus,Athyrium,Polypodium,Selinum,Bidens,Euphrasia,Actaea,Melilotus,Hippophae,Taraxacum,Leymus,Petasites,Digitaria,Chelidonium,Cicerbita,Schoenus,Androsace,Trisetum,Anchusa,Phegopteris,Orthilia,Tussilago,Ficaria,Sagina,Chamaenerion,Micranthes,Helictochloa,Struthiopteris,Papaver,Pinguicula,Arum,Acorus,Avena,Stellaria,Phleum,Glechoma,Salvia,Agrimonia,Alchemilla,Danthonia,Polygonum,Carum,Monotropa,Sonchus,Cardamine,Arctostaphylos,Catabrosa,Myrica,Atriplex,Saponaria,Parnassia,Lemna,Hordeum,Lolium,Setaria,Agropyron,Epilobium,Callitriche,Viola,Senecio,Oxytropis,Scrophularia,Luzula,Ononis,Scabiosa,Anthemis,Elatine,Milium,Oreojuncus,Arenaria,Helianthus,Aegilops,Puccinellia,Triglochin,Pilosella,Chenopodium,Brassica,Raphanus,Sinapis,Pisum,Hyoscyamus,Lactuca,Aethusa,Echinochloa,Ligusticum,Tripleurospermum,Cota,Omalotheca,Arctium,Nymphaea,Asplenium,Paris,Hydrocharis,Trichophorum,Draba,Galeopsis,Dasiphora,Lilium,Pteridium,Malva,Hippocrepis,Tephroseris,Marchantia,Thlaspi,Phyllostachys,Levisticum,Gentianella,Arabis,Hieracium,Buglossoides,Fumaria,Minuartia,Anthericum,Silybum,Mercurialis,Ligularia,Nuphar,Najas,Hyssopus,Bupleurum,Cryptogramma,Selaginella,Juniperus,Hordelymus,Armeria,Viscum,Cochlearia,Euonymus,Convallaria,Arabidopsis,Cucurbita,Ipomoea,Ilex,Dioscorea,Allium,Scheuchzeria,Inula,Serratula,Scilla,Ligustrum,Lathraea,Linnaea,Cucumis,Cuscuta,Lithospermum,Consolida,Coptidium,Cassiope,Reseda,Telekia,Corydalis,Ricinus,Spiraea,Hydrocotyle,Adoxa,Cypripedium,Polygala,Chamorchis,Matteuccia,Arnica,Antennaria,Cladium,Daphne,Camelina,Scorzonera,Botrypus,Frangula,Saussurea,Fagopyrum,Sedum,Glycine,Cymbalaria,Ambrosia,Dactylis,Erodium,Echinops,Bartsia,Suaeda,Rhynchospora,Centaurium,Sibbaldia,Cistus,Helianthemum,Trigonella,Arctanthemum,Tanacetum,Montia,Koenigia,Spergularia,Moehringia,Atocion,Iberis,Rhodiola,Spergula,Eurybia,Eremogone,Viscaria,Glebionis,Mononeuria,Sabulina,Cherleria
0.0,646,109,1934,863,1304,170,5827,194,233,255,634,351,898,108,2582,69,186,74,37,55,258,646,2240,38,66,168,328,76,72,257,782,104,231,183,127,112,17745,87,122,455,66,10206,276,242,145,112,27,16,111,488,1492,34,164,80,37,14,11,18,21,355,42,112,92,30,426,460,28,187,11,42,73,115,12,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,0,0,0,0,0,0,3528,0,0,0,0,0,1221,0,1099,0,71,416,66,69,117,0,2491,0,0,0,171,0,0,0,0,0,0,694,0,0,9487,0,87,0,52,0,0,413,0,0,0,0,0,103,1842,0,266,0,0,0,21,0,0,34,0,190,0,0,226,240,48,0,0,0,189,0,34,0,178,974,19,622,339,39,790,2080,864,57,53,34,14,661,106,59,13,128,540,167,12,17,926,132,62,1928,153,313,27,13,17,12,30,116,28,37,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.5,0,0,6197,1808,232,0,11357,143,13,2866,0,460,0,320,0,0,0,305,94,33,469,962,4828,40,0,413,353,0,0,0,435,241,0,0,0,266,18076,0,99,925,0,4357,232,0,401,162,0,0,204,298,3798,0,0,258,0,0,0,120,57,222,0,222,371,0,0,0,0,101,0,0,488,216,36,291,0,0,0,877,788,0,0,4392,0,0,0,0,0,352,0,188,0,183,772,355,202,0,0,165,170,0,284,333,95,326,0,263,0,0,0,200,0,43,3580,35,804,172,313,646,96,40,27,860,86,152,166,69,410,44,55,163,136,709,915,64,73,21,15,671,142,15,76,54,504,21,25,13,230,27,61,38,24,27,76,38,15,61,26,116,1222,50,477,336,27,41,22,30,231,17,16,74,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.5,0,0,9348,0,257,576,20320,205,16,5176,0,596,3509,0,1521,0,0,224,155,24,0,0,8338,115,141,575,0,102,0,260,564,0,118,2623,464,212,36640,726,206,0,87,5574,252,628,697,0,0,0,0,601,4732,0,592,377,0,0,74,0,0,560,0,326,612,82,232,0,0,270,0,23,887,0,148,648,0,2661,0,2001,1161,105,1583,8422,1430,112,303,332,0,453,56,191,37,225,0,0,304,0,0,245,85,737,0,369,82,0,11,252,0,42,136,220,0,78,6683,55,794,211,787,1091,89,0,0,1174,135,152,0,90,277,0,93,243,156,0,732,90,36,40,0,449,0,0,0,78,0,32,0,0,295,18,88,0,31,0,27,48,0,130,27,0,0,39,0,322,58,0,56,0,188,14,13,0,203,1410,10849,37,35,16,344,33,10,324,587,43,11,28,10,11,120,134,15,12,21,34,43,10,72,398,174,143,32,31,22,42,22,28,2124,37,10,744,31,21,207,68,19,34,20,60,112,670,15,10,15,16,56,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84.5,273,0,6234,1814,211,291,11497,111,10,3542,506,288,1907,103,1020,0,154,119,103,0,192,773,5961,71,0,152,363,0,161,74,263,0,0,2872,0,144,22976,0,104,691,51,4481,173,442,282,0,0,42,251,0,6090,0,328,0,0,121,0,0,0,59,0,221,202,42,218,569,0,0,15,0,0,229,0,295,0,2706,0,1723,1456,0,1466,5494,517,0,197,118,119,388,11,98,28,130,0,175,0,0,0,0,0,863,168,0,63,36,0,65,0,0,52,80,0,0,2870,24,370,0,380,840,48,0,0,322,55,0,136,54,508,0,20,108,41,0,492,57,0,0,0,284,130,0,0,0,88,0,0,0,0,0,86,10,14,0,0,13,0,0,17,0,549,0,130,108,27,0,29,0,204,0,16,0,116,0,4272,0,0,0,179,0,0,184,0,0,10,22,0,0,70,53,0,0,0,0,14,0,14,351,124,0,0,0,13,0,0,0,0,0,0,227,0,0,32,0,0,0,0,0,30,0,0,0,0,0,0,76,22,20,22,29,49,14,42,115,22,39,75,10,648,12,20,59,11,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102.0,0,71,25572,2463,0,648,19042,266,21,10428,0,662,8222,444,2576,54,0,0,563,0,452,2279,18525,211,194,164,0,0,0,155,564,310,0,9129,551,0,56759,1648,175,1950,76,12647,229,1102,685,0,29,53,330,401,8822,41,921,114,200,0,244,0,0,0,61,347,344,0,0,1483,31,460,0,0,0,0,120,0,0,6910,0,4182,17365,240,3833,13978,3957,0,0,498,303,716,0,202,0,0,5831,0,100,0,0,451,47,1395,169,528,201,22,0,0,0,64,205,146,0,54,3486,40,1519,0,0,2248,67,0,0,357,333,154,268,0,520,183,0,279,58,1511,0,247,0,0,78,422,0,0,0,0,122,0,0,0,197,11,243,0,0,68,39,278,0,0,24,0,2945,0,88,55,0,59,96,0,353,11,56,301,0,1763,5467,0,37,0,757,68,0,595,1113,0,0,0,21,0,0,321,0,0,82,13,0,0,0,832,0,0,0,0,0,28,12,59,0,29,0,0,102,0,18,187,0,37,0,0,0,324,0,0,0,0,0,0,0,25,0,75,406,0,0,268,0,0,0,28,3670,0,0,0,0,0,166,11,19,14,60,75,162,903,160,21,39,57,193,77,16,20,42,250,178,49,109,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122.0,362,43,12274,1447,488,0,15835,160,16,5143,488,418,3458,444,1755,0,241,161,218,0,317,0,15104,0,0,167,0,82,293,116,393,395,72,4133,0,0,48755,1201,238,1122,0,0,0,663,0,0,0,0,0,0,7621,36,605,0,102,187,133,0,0,105,0,293,263,0,0,818,0,0,21,0,683,324,269,572,0,5024,0,1574,1992,0,3500,4627,2764,0,247,0,0,392,0,123,59,299,2248,570,0,14,130,0,0,918,111,324,0,51,0,0,0,0,114,83,0,0,2770,0,238,440,0,1396,0,0,0,421,233,0,0,81,459,0,0,129,49,1208,638,85,0,46,29,0,0,34,45,0,0,0,0,0,598,0,180,0,0,0,0,118,0,226,0,0,0,0,237,69,67,0,0,0,0,0,0,68,140,1132,3165,0,0,16,249,0,0,231,634,0,0,37,0,0,135,0,19,0,33,0,0,0,43,508,142,0,0,0,34,0,0,0,0,0,0,350,80,0,0,0,14,0,0,0,0,197,0,0,0,0,0,0,121,0,0,0,0,14,0,353,0,214,0,24,1626,0,0,226,0,0,121,0,0,0,0,69,129,433,0,16,41,74,0,0,0,0,34,41,187,0,111,0,0,25,14,16,15,18,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152.0,0,57,13334,1132,1348,357,13137,190,479,3290,388,339,3508,0,2141,0,196,0,0,0,384,1309,16161,0,150,172,695,0,173,113,395,569,42,4562,0,0,55581,0,0,1155,72,8206,0,1032,352,228,0,35,0,225,7695,45,614,0,128,178,158,0,65,0,0,190,0,0,252,804,0,192,0,0,388,306,207,430,0,5563,0,1540,257,0,1416,2359,2653,241,599,370,68,419,0,0,0,257,2001,1349,137,10,127,187,0,1616,119,416,142,56,21,0,0,129,133,67,37,0,2881,0,0,0,188,883,194,0,0,363,199,0,175,0,363,79,0,192,41,1554,889,0,0,0,49,0,299,0,68,0,109,20,18,0,0,0,0,0,20,0,23,0,0,300,0,60,0,0,122,69,0,77,49,0,329,16,31,0,103,0,2655,0,23,0,237,20,0,0,954,38,0,0,45,0,74,183,11,0,0,21,12,0,45,345,0,412,25,0,0,0,0,17,782,0,16,0,52,0,0,56,0,20,0,109,21,394,0,11,0,0,16,0,26,0,37,0,246,0,106,0,21,166,0,0,1693,0,0,217,0,0,133,0,0,0,0,0,196,0,43,0,0,0,139,0,0,18,21,108,63,205,146,0,15,0,0,0,0,0,0,18,19,12,26,61,22,27,22,42,14,17,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182.0,1453,130,12053,1556,1473,601,29101,414,23,1315,1164,556,3076,0,7691,137,322,152,212,13,447,1486,28675,300,125,871,0,74,86,319,529,1204,410,2517,460,371,147804,1350,869,1172,0,25659,0,1110,339,0,0,0,208,381,8337,68,387,0,0,0,415,0,0,559,0,368,253,0,1415,577,69,0,0,0,411,0,333,301,0,10739,15,1897,172,0,1555,3048,3381,148,219,205,0,0,0,128,0,221,3527,922,59,0,0,110,178,1836,154,0,186,157,0,0,0,96,201,61,0,215,20250,90,756,280,0,780,235,0,0,0,0,113,204,97,0,0,0,0,0,1832,1631,0,0,0,86,1175,358,18,0,55,0,0,0,0,65,0,226,0,0,43,20,0,0,0,82,0,642,0,0,0,0,0,96,32,225,15,0,85,248,0,16987,0,0,13,328,65,0,0,1848,0,0,0,35,0,0,97,13,0,0,30,0,0,116,566,295,0,117,47,46,31,19,0,0,11,0,3418,61,0,761,0,0,0,0,227,0,687,0,11,0,0,0,0,0,25,0,0,185,0,0,0,0,290,0,0,1720,55,0,309,0,0,100,0,0,0,0,0,0,0,52,28,0,0,0,68,22,14,43,0,0,96,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,76,0,13,0,0,25,10,12,22,12,23,24,45,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209.0,998,0,11381,1388,1418,533,23934,0,19,2908,1297,0,3131,0,5837,199,625,0,217,0,569,0,21460,150,140,659,0,0,103,0,575,1007,134,3109,542,209,97169,1194,558,1239,92,20044,0,963,344,0,63,0,233,649,6638,0,0,0,121,142,159,0,70,0,67,0,223,0,809,834,0,148,0,0,419,317,227,291,0,6947,0,2298,269,186,1318,2181,2406,245,0,0,0,436,0,0,127,283,2561,1169,0,0,484,0,198,1647,175,539,138,113,0,0,0,107,142,0,0,93,17850,0,533,423,285,714,209,0,0,1743,147,0,158,220,0,45,0,225,93,1433,1840,0,94,55,96,1256,308,0,0,90,0,52,25,0,135,0,187,39,0,30,0,0,0,0,52,216,0,0,230,108,74,0,38,0,0,0,0,0,0,0,13755,38,49,0,260,69,0,186,0,0,18,59,32,0,199,0,0,0,0,0,0,0,92,460,274,500,0,0,76,22,0,0,0,0,0,2877,0,0,0,93,0,0,0,160,0,534,0,0,0,0,0,0,19,0,0,0,0,0,75,190,0,144,0,0,0,0,0,248,0,19,0,0,0,0,0,53,0,0,0,54,0,102,0,0,0,0,0,0,162,100,135,0,0,0,0,0,0,12,0,0,0,0,0,0,0,51,15,35,0,0,0,0,0,16,0,0,0,18,0,90,0,11,16,20,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
